Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
2024-01-01,2914.533936,1038.321777,5727.949707,3327.104004,1096.853394,6647.077148,1675.343018,659.3981934,1007.43573,214.7661743,5251.446289,1240.481934,355.1929016,3892.012207,1157.475708,3994.095703,2110.763672,1411.368652,1675.223999,646.5014038,3967.078369,606.9208374,2618.707764,990.869812,1581.2948,1491.409424,438.1210327,870.7787476,1907.059814,3465.631348,1690.919067,10187.0791,2700.454834,300.1486206,192.1942749,226.4627228,1295.125,1426.81665,618.355835,28304.26367,1241.662476,781.4489746,133.9638824,3665.432861,1262.217896,3665.156982,10402.31152,592.7000122,233.4288483
2024-01-02,2929.719971,1068.593994,5724.263184,3322.450439,1092.406982,6611.317871,1685.136841,671.2328491,1016.037842,216.7615814,5220.894531,1270.775146,365.2867737,4005.41626,1178.381836,3849.84375,2085.114502,1397.861328,1676.210571,643.3122559,3937.844727,613.4831543,2578.313721,973.8661499,1558.300049,1475.11438,440.2740173,863.4363403,1863.008179,3379.763672,1644.161255,10102.33008,2685.730225,296.5148621,193.7853699,226.0825195,1305.849976,1432.346069,616.5239258,27933.27734,1277.082153,775.3208008,133.7243958,3638.599121,1243.680786,3686.188232,10144.54004,594.4500122,229.5396118
2024-01-03,3000.255371,1084.299805,5746.128906,3305.061035,1097.752808,6930.17627,1676.592285,667.1448975,1029.463013,219.0420227,5186.294434,1289.21875,357.7512512,4006.012695,1179.395874,3844.997559,2056.092041,1367.612671,1650.363525,635.0404053,3843.112061,589.6696777,2571.162354,975.6508179,1583.56958,1432.42981,446.7327576,831.1393433,1863.857178,3381.975586,1643.218262,9983.354492,2627.725586,296.7086792,194.9084778,225.322113,1291.650024,1417.451294,620.3805542,28065.74023,1279.446777,772.4049683,129.6532898,3550.644531,1210.693848,3681.005371,10051.93945,586.8499756,223.0330353
2024-01-04,2995.559814,1112.986572,5740.052734,3311.281982,1122.533691,6866.345215,1700.876831,696.121582,1042.092651,215.0512238,5292.413086,1285.748169,357.9373474,4017.492188,1161.561401,3818.688965,2054.107422,1350.68103,1668.071777,645.7539673,3801.789795,587.1342163,2557.352295,978.7243652,1630.449097,1454.252686,445.9371338,830.5935669,1861.559692,3400.013916,1629.766724,9921.586914,2675.19873,307.270813,200.8984528,229.5044098,1298.324951,1426.318359,619.7056274,28201.13867,1293.585205,786.5394287,128.5995789,3526.648193,1213.904907,3707.568359,9955.759766,587.6500244,221.3207855
2024-01-05,3003.852051,1143.754272,5732.133301,3287.377686,1136.07312,6922.240723,1708.422119,696.6274414,1040.799805,215.2650299,5204.606445,1276.0802,357.4721985,3990.259277,1160.259155,3834.563232,2063.335205,1362.904175,1659.538208,644.5579834,3843.545654,583.6541748,2584.47876,985.2184448,1625.157837,1473.335815,443.6438293,822.9534302,1845.577148,3462.141357,1630.064575,9923.271484,2630.56665,305.1874084,202.5831299,229.3143005,1303.849976,1448.785278,618.9343262,26873.91602,1281.023193,781.7949829,128.024826,3595.030762,1214.683472,3700.44165,9957.001953,581.25,223.3754883
2024-01-08,2960.791504,1158.221436,5660.160645,3231.388428,1121.134766,6927.547852,1695.280396,698.8724365,1043.236328,216.1677094,5110.827148,1261.057495,353.8904724,3910.150879,1145.486694,3841.684326,2051.626953,1377.267456,1641.040771,643.6610107,3862.039307,574.3574829,2543.246338,973.6182861,1609.234619,1463.962524,435.7341003,815.5613403,1824.100708,3441.694824,1604.402466,9853.628906,2584.099854,306.6409607,203.98703,230.3598938,1293.675049,1415.807373,604.5203247,27178.57031,1286.048096,779.9663696,126.4442673,3537.708496,1195.854492,3693.962891,9875.932617,560.9000244,220.3179016
2024-01-09,3011.844971,1186.2146,5775.366211,3201.116455,1115.688965,7036.710449,1681.38916,697.9193115,1058.600586,218.5194244,5056.583008,1278.509521,358.4955139,3960.342773,1143.190308,3828.0354,2048.005371,1389.157837,1628.265259,638.7278442,3961.251465,572.6671753,2544.726074,971.3875122,1607.256592,1470.211426,434.8448486,815.015625,1824.650146,3495.614014,1618.05249,9930.304688,2557.758545,309.8386536,202.7703247,230.3123627,1290.25,1444.00293,602.9777222,27161.91211,1304.472168,790.5425415,128.024826,3548.865234,1202.374146,3681.952148,9840.741211,558.1500244,220.5135803
2024-01-10,3095.368408,1203.307739,5778.603516,3220.073486,1106.146362,6996.884277,1670.795898,693.8630371,1056.810547,214.3861084,5021.29248,1318.024414,355.4255066,3878.843018,1150.626221,3800.441162,2060.631348,1419.311157,1633.641846,642.7640991,3985.861328,576.7437744,2542.407715,984.5739746,1622.141357,1461.174561,433.6747742,823.3503418,1818.806641,3485.341064,1620.931519,9916.535156,2543.453613,303.6370239,198.5118408,227.3181915,1325.050049,1446.095093,599.4585571,26693.76563,1305.30957,799.0924072,128.4559021,3571.130127,1207.482788,3702.335449,9718.566406,558.5999756,221.9078369
2024-01-11,3078.084229,1192.011475,5847.338867,3221.395752,1124.881836,7240.008301,1668.19751,692.8873291,1056.959717,217.9255524,5070.699707,1314.504395,357.5652161,3881.377441,1131.787842,3846.184326,2075.723389,1412.367554,1626.785522,641.8173218,4182.503418,573.661499,2501.767334,982.6902466,1639.646973,1436.467407,433.0663147,815.6605225,1820.854248,3445.381104,1616.811646,9917.425781,2522.834229,303.2009583,198.2778473,229.9796753,1359.900024,1422.532471,597.9641724,26761.19141,1296.836548,806.2091064,129.2222137,3592.770264,1215.753784,3686.537354,9861.96582,562.25,219.266098
2024-01-12,3101.262939,1196.123657,5773.423828,3211.20752,1119.485962,7243.083496,1650.858521,692.1013794,1070.384888,217.7117615,5084.914551,1297.002686,354.541687,3860.25708,1131.072021,3828.431152,2103.466797,1465.635742,1619.090576,635.4390259,4221.946777,578.7323608,2509.461426,994.9348145,1655.619629,1550.437012,436.8573914,819.3814087,1831.24292,3508.24585,1612.64209,9872.402344,2515.336426,302.9587402,209.0878906,227.6508942,1370.724976,1430.004883,610.883667,26725.43945,1306.393311,806.9997559,129.6053772,3734.39209,1272.824463,3713.8479,9750.625977,565.0999756,227.7050476
